year,origin,destination,migrants
2005,Germany,Norwegen,991.0
2005,Germany,Pakistan,365.0
2005,Germany,Paraguay,350.0
2005,Germany,Peru,195.0
2005,Germany,Philippinen,437.0
2005,Germany,Polen,9229.0
2005,Germany,Portugal,946.0
2005,Germany,Ruanda,24.0
2005,Germany,Rumänien,520.0
2005,Germany,Russische Föderation,2423.0
2005,Germany,Saudi-Arabien,115.0
2005,Germany,Schweden,1422.0
2005,Germany,Schweiz,14409.0
2005,Germany,Senegal,53.0
2005,Germany,Serbien,0.0
2005,Germany,Singapur,466.0
2005,Germany,Slowakei,231.0
2005,Germany,Slowenien,195.0
2005,Germany,Somalia,6.0
2005,Germany,Spanien,7317.0
2005,Germany,Syrien,161.0
2005,Germany,Südafrika,1009.0
2005,Germany,Tadschikistan,46.0
2005,Germany,Tansania,143.0
2005,Germany,Thailand,1064.0
2005,Germany,Tschechien,959.0
2005,Germany,Tunesien,304.0
2005,Germany,Türkei,2795.0
2005,Germany,Uganda,79.0
2005,Germany,Ukraine,296.0
2005,Germany,Unbekanntes Ausland,0.0
2005,Germany,Ungarn,977.0
2005,Germany,Ungeklärt / Ohne Angabe,21478.0
2005,Germany,Uruguay,76.0
2005,Germany,Usbekistan,27.0
2005,Germany,"Venezuela, Bolivarische Republik",179.0
2005,Germany,Vereinigte Arabische Emirate,833.0
2005,Germany,Vereinigte Staaten,13569.0
2005,Germany,Vereinigtes Königreich,9012.0
2005,Germany,Vietnam,119.0
2005,Germany,Zentralafrikanische Republik,19.0
2005,Germany,Zypern,145.0
2005,Germany,Ägypten,453.0
2005,Germany,Äthiopien,117.0
2005,Germany,Österreich,9314.0
2005,Germany,Übriges Afrika,550.0
2005,Germany,Übriges Amerika,736.0
2005,Germany,Übriges Asien,844.0
2005,Germany,Übriges Europa,445.0
2005,Germany,Übriges Ozeanien,79.0
2006,Germany,Afghanistan,138.0
2006,Germany,Albanien,49.0
2006,Germany,Algerien,160.0
2006,Germany,Andorra,12.0
2006,Germany,Angola,33.0
2006,Germany,Argentinien,366.0
2006,Germany,Armenien,16.0
2006,Germany,Aserbaidschan,37.0
2006,Germany,Australien,2944.0
2006,Germany,Belarus,60.0
2006,Germany,Belgien,2638.0
2006,Germany,"Bolivien, Plurinationaler Staat",133.0
2006,Germany,Bosnien und Herzegowina,126.0
2006,Germany,Brasilien,1300.0
2006,Germany,Bulgarien,179.0
2006,Germany,Chile,323.0
2006,Germany,China,2294.0
2006,Germany,Costa Rica,117.0
2006,Germany,Cote d'Ivoire,10.0
2006,Germany,Dänemark,1224.0
2006,Germany,Estland,72.0
2006,Germany,Finnland,368.0
2006,Germany,Frankreich,7572.0
2006,Germany,Georgien,31.0
2006,Germany,Ghana,159.0
2006,Germany,Griechenland,1380.0
2006,Germany,Honduras,43.0
2006,Germany,Indien,532.0
2006,Germany,Indonesien,346.0
2006,Germany,Irak,309.0
2006,Germany,"Iran, Islamische Republik",306.0
2006,Germany,Irland,1249.0
2006,Germany,Island,133.0
2006,Germany,Israel,422.0
2006,Germany,Italien,3437.0
2006,Germany,Japan,594.0
2006,Germany,Jemen,42.0
2006,Germany,Jordanien,206.0
2006,Germany,Kamerun,72.0
2006,Germany,Kanada,3831.0
2006,Germany,Kasachstan,747.0
2006,Germany,Kenia,213.0
2006,Germany,Kirgisistan,63.0
2006,Germany,Kolumbien,208.0
2006,Germany,"Kongo, Demokratische Republik",22.0
2006,Germany,"Kongo, Republik",10.0
2006,Germany,"Korea, Demokratische Volksrepublik",49.0
2006,Germany,"Korea, Republik",139.0
2006,Germany,Kosovo,0.0
2006,Germany,Kroatien,415.0
2006,Germany,Kuwait,73.0
2006,Germany,Lettland,79.0
2006,Germany,Libanon,487.0
2006,Germany,Libyen,39.0
2006,Germany,Litauen,101.0
2006,Germany,Luxemburg,902.0
2006,Germany,Malta,75.0
2006,Germany,Marokko,255.0
2006,Germany,Mexiko,739.0
2006,Germany,Montenegro (ab 03.06.2006),3.0
2006,Germany,Namibia,213.0
2006,Germany,Neuseeland,1020.0
2006,Germany,Nicaragua,43.0
2006,Germany,Niederlande,3554.0
2006,Germany,Niger,18.0
2006,Germany,Nigeria,141.0
2006,Germany,Nordmazedonien,65.0
2006,Germany,Norwegen,1469.0
2006,Germany,Pakistan,364.0
2006,Germany,Paraguay,435.0
2006,Germany,Peru,220.0
2006,Germany,Philippinen,426.0
